Season,Player,Date,Home/Away,Opp,Win/Loss,FG%,FT,FTA,FT%,TS%,eFG%,DRtg,,
2018-19,CJ McCollum,12/14/18,Home,TOR,W,0.357,2,2,1,0.47,0.429,119,,
2018-19,CJ McCollum,12/17/18,Away,LAC,W,0.579,3,3,1,0.664,0.632,130,,
2018-19,CJ McCollum,12/19/18,Home,MEM,W,0.313,1,2,0.5,0.326,0.313,107,,
2018-19,CJ McCollum,12/21/18,Home,UTA,L,0.333,2,2,1,0.378,0.333,118,,
2018-19,CJ McCollum,12/23/18,Home,DAL,W,0.5,1,2,0.5,0.527,0.525,106,,
2018-19,CJ McCollum,12/25/18,Away,UTA,L,0.286,2,4,0.5,0.349,0.321,118,,
2018-19,CJ McCollum,12/27/18,Away,GSW,W,0.318,7,7,1,0.478,0.386,101,,
2018-19,CJ McCollum,12/29/18,Home,GSW,L,0.353,2,2,1,0.391,0.353,121,,
2018-19,CJ McCollum,12/30/18,Home,PHI,W,0.722,5,5,1,0.866,0.833,93,,
2018-19,CJ McCollum,1/1/19,Away,SAC,W,0.421,0,2,0,0.402,0.421,107,,
2018-19,CJ McCollum,1/4/19,Home,OKC,L,0.267,0,0,,0.333,0.333,117,,
2018-19,CJ McCollum,1/5/19,Home,HOU,W,0.429,3,4,0.75,0.527,0.5,115,,
2018-19,CJ McCollum,1/7/19,Home,NYK,W,0.412,1,1,1,0.487,0.471,107,,
2018-19,CJ McCollum,1/9/19,Home,CHI,W,0.714,2,2,1,0.806,0.786,118,,
2018-19,CJ McCollum,1/11/19,Home,CHO,W,0.6,1,1,1,0.734,0.725,103,,
2018-19,CJ McCollum,1/13/19,Away,DEN,L,0.368,0,0,,0.474,0.474,125,,
2018-19,CJ McCollum,1/14/19,Away,SAC,L,0.143,2,2,1,0.202,0.143,117,,
2018-19,CJ McCollum,1/16/19,Home,CLE,W,0.538,3,4,0.75,0.644,0.615,126,,
2018-19,CJ McCollum,1/18/19,Home,NOP,W,0.667,3,3,1,0.751,0.708,111,,
2018-19,CJ McCollum,1/21/19,Away,UTA,W,0.353,0,1,0,0.401,0.412,108,,
2018-19,CJ McCollum,1/22/19,Away,OKC,L,0.478,2,2,1,0.649,0.63,129,,
2018-19,CJ McCollum,1/24/19,Away,PHO,W,0.533,0,0,,0.667,0.667,106,,
2018-19,CJ McCollum,1/26/19,Home,ATL,W,0.435,6,7,0.857,0.537,0.478,113,,
2018-19,CJ McCollum,1/30/19,Home,UTA,W,0.706,3,4,0.75,0.8,0.794,102,,
2018-19,CJ McCollum,2/5/19,Home,MIA,L,0.52,0,0,,0.66,0.66,122,,
2018-19,CJ McCollum,2/7/19,Home,SAS,W,0.476,3,3,1,0.672,0.643,108,,
2018-19,CJ McCollum,2/10/19,Away,DAL,L,0.353,2,2,1,0.391,0.353,110,,
2018-19,CJ McCollum,2/11/19,Away,OKC,L,0.25,2,3,0.667,0.305,0.275,121,,
2018-19,CJ McCollum,2/13/19,Home,GSW,W,0.385,2,2,1,0.54,0.5,125,,
2018-19,CJ McCollum,2/21/19,Away,BRK,W,0.474,2,2,1,0.528,0.5,100,,
2018-19,CJ McCollum,2/23/19,Away,PHI,W,0.353,2,2,1,0.419,0.382,115,,
2018-19,CJ McCollum,2/25/19,Away,CLE,W,0.667,4,6,0.667,0.848,0.861,119,,
2018-19,CJ McCollum,2/27/19,Away,BOS,W,0.316,1,2,0.5,0.352,0.342,103,,
2018-19,CJ McCollum,3/1/19,Away,TOR,L,0.6,4,4,1,0.804,0.775,121,,
2018-19,CJ McCollum,3/3/19,Away,CHO,W,0.154,0,0,,0.231,0.231,114,,
2018-19,CJ McCollum,3/5/19,Away,MEM,L,0.692,6,6,1,0.863,0.808,121,,
2018-19,CJ McCollum,3/7/19,Home,OKC,L,0.375,4,4,1,0.485,0.438,116,,
2018-19,CJ McCollum,3/9/19,Home,PHO,W,0.786,0,0,,0.929,0.929,116,,
2018-19,CJ McCollum,3/12/19,Away,LAC,W,0.571,5,6,0.833,0.74,0.714,114,,
2018-19,CJ McCollum,3/15/19,Away,NOP,W,0.5,0,2,0,0.551,0.575,113,,
2018-19,CJ McCollum,3/16/19,Away,SAS,L,0.385,0,0,,0.385,0.385,115,,
2018-19,CJ McCollum,3/18/19,Home,IND,W,,,,,,,,,
2018-19,CJ McCollum,3/20/19,Home,DAL,W,,,,,,,,,
2018-19,CJ McCollum,3/23/19,Home,DET,W,,,,,,,,,
2018-19,CJ McCollum,3/25/19,Home,BRK,W,,,,,,,,,
2018-19,CJ McCollum,3/27/19,Away,CHI,W,,,,,,,,,
2018-19,CJ McCollum,3/29/19,Away,ATL,W,,,,,,,,,
2018-19,CJ McCollum,3/30/19,Away,DET,L,,,,,,,,,
2018-19,CJ McCollum,4/1/19,Away,MIN,W,,,,,,,,,
2018-19,CJ McCollum,4/3/19,Home,MEM,W,,,,,,,,,
2018-19,CJ McCollum,4/5/19,Away,DEN,L,,,,,,,,,
2018-19,CJ McCollum,4/7/19,Home,DEN,W,0.231,2,2,1,0.324,0.269,107,,
2018-19,CJ McCollum,4/9/19,Away,LAL,W,0.385,0,1,0,0.409,0.423,112,,
2018-19,CJ McCollum,4/10/19,Home,SAC,W,,,,,,,,,
2018-19,CJ McCollum,4/14/19,Home,OKC,W,0.375,3,5,0.6,0.458,0.438,106,,
2018-19,CJ McCollum,4/16/19,Home,OKC,W,0.545,6,6,1,0.67,0.614,95,,
2018-19,CJ McCollum,4/19/19,Away,OKC,L,0.438,2,4,0.5,0.591,0.594,121,,
2018-19,CJ McCollum,4/21/19,Away,OKC,W,0.5,2,2,1,0.647,0.625,99,,
2018-19,CJ McCollum,4/23/19,Home,OKC,W,0.421,0,0,,0.447,0.447,117,,
2018-19,CJ McCollum,4/29/19,Away,DEN,L,0.412,0,2,0,0.447,0.471,127,,
2018-19,CJ McCollum,5/1/19,Away,DEN,W,0.4,1,2,0.5,0.479,0.475,102,,
2018-19,CJ McCollum,5/3/19,Home,DEN,W,0.41,5,6,0.833,0.492,0.462,111,,
2018-19,CJ McCollum,5/5/19,Home,DEN,L,0.5,5,6,0.833,0.64,0.6,127,,
2018-19,CJ McCollum,5/7/19,Away,DEN,L,0.313,0,0,,0.375,0.375,127,,
2018-19,CJ McCollum,5/9/19,Home,DEN,W,0.5,4,4,1,0.582,0.542,124,,
2018-19,CJ McCollum,5/12/19,Away,DEN,W,0.586,2,2,1,0.619,0.603,102,,
2018-19,CJ McCollum,5/14/19,Away,GSW,L,0.368,2,3,0.667,0.418,0.395,129,,
2018-19,CJ McCollum,5/16/19,Away,GSW,L,0.391,1,1,1,0.469,0.457,123,,
2018-19,CJ McCollum,5/18/19,Home,GSW,L,0.35,7,12,0.583,0.455,0.4,113,,
2018-19,CJ McCollum,5/20/19,Home,GSW,L,0.455,1,1,1,0.579,0.568,115,,
2019-20,Dennis Schroder,10/23/19,Away,UTA,L,0.125,0,0,,0.188,0.188,105,,
2019-20,Dennis Schroder,10/25/19,Home,WAS,L,0.286,1,2,0.5,0.302,0.286,92,,
2019-20,Dennis Schroder,10/27/19,Home,GSW,W,0.75,3,3,1,0.826,0.792,75,,
2019-20,Dennis Schroder,10/28/19,Away,HOU,L,0.615,2,3,0.667,0.768,0.769,116,,
2019-20,Dennis Schroder,10/30/19,Home,POR,L,0.353,5,6,0.833,0.433,0.353,101,,
2019-20,Dennis Schroder,11/2/19,Home,NOP,W,0.412,3,5,0.6,0.443,0.412,98,,
2019-20,Dennis Schroder,11/5/19,Home,ORL,W,0.182,0,0,,0.227,0.227,112,,
2019-20,Dennis Schroder,11/7/19,Away,SAS,L,0.364,2,2,1,0.463,0.409,128,,
2019-20,Dennis Schroder,11/9/19,Home,GSW,W,0.462,2,2,1,0.576,0.538,108,,
2019-20,Dennis Schroder,11/10/19,Home,MIL,L,0.75,4,6,0.667,0.854,0.875,108,,
2019-20,Dennis Schroder,11/12/19,Away,IND,L,0.3,2,2,1,0.414,0.35,115,,
2019-20,Dennis Schroder,11/15/19,Home,PHI,W,0.333,2,4,0.5,0.372,0.333,127,,
2019-20,Dennis Schroder,11/18/19,Away,LAC,L,0.353,0,0,,0.353,0.353,101,,
2019-20,Dennis Schroder,11/19/19,Away,LAL,L,0.6,4,4,1,0.712,0.675,121,,
2019-20,Dennis Schroder,11/22/19,Home,LAL,L,0.417,3,4,0.75,0.472,0.417,131,,
2019-20,Dennis Schroder,11/25/19,Away,GSW,W,0.529,0,0,,0.647,0.647,112,,
2019-20,Dennis Schroder,11/27/19,Away,POR,L,0.333,3,5,0.6,0.446,0.389,132,,
2019-20,Dennis Schroder,11/29/19,Home,NOP,W,0.458,0,0,,0.521,0.521,111,,
2019-20,Dennis Schroder,12/1/19,Away,NOP,W,0.5,3,3,1,0.638,0.583,106,,
2019-20,Dennis Schroder,12/4/19,Home,IND,L,0.471,1,1,1,0.516,0.5,120,,
2019-20,Dennis Schroder,12/6/19,Home,MIN,W,0.588,4,4,1,0.666,0.618,125,,
2019-20,Dennis Schroder,12/8/19,Away,POR,W,0.5,4,4,1,0.666,0.607,112,,
2019-20,Dennis Schroder,12/9/19,Away,UTA,W,0.524,2,2,1,0.617,0.595,98,,
2019-20,Dennis Schroder,12/11/19,Away,SAC,L,0.5,0,0,,0.607,0.607,96,,
2019-20,Dennis Schroder,12/14/19,Away,DEN,L,0.471,2,2,1,0.615,0.588,116,,
2019-20,Dennis Schroder,12/16/19,Home,CHI,W,0.583,2,2,1,0.699,0.667,105,,
2019-20,Dennis Schroder,12/18/19,Home,MEM,W,0.526,10,11,0.909,0.65,0.553,122,,
2019-20,Dennis Schroder,12/20/19,Home,PHO,W,0.474,5,5,1,0.566,0.5,110,,
2019-20,Dennis Schroder,12/22/19,Home,LAC,W,0.471,8,9,0.889,0.668,0.588,115,,
2019-20,Dennis Schroder,12/26/19,Home,MEM,L,0.381,2,2,1,0.457,0.429,119,,
2019-20,Dennis Schroder,12/27/19,Away,CHO,W,0.588,1,4,0.25,0.64,0.676,106,,
2019-20,Dennis Schroder,12/29/19,Away,TOR,W,,,,,,,,,
2019-20,Dennis Schroder,12/31/19,Home,DAL,W,0.412,4,4,1,0.533,0.471,113,,
2019-20,Dennis Schroder,1/2/20,Away,SAS,W,0.429,4,4,1,0.603,0.536,121,,
2019-20,Dennis Schroder,1/4/20,Away,CLE,W,0.6,2,4,0.5,0.656,0.667,113,,
2019-20,Dennis Schroder,1/6/20,Away,PHI,L,0.533,4,7,0.571,0.581,0.567,128,,
2019-20,Dennis Schroder,1/7/20,Away,BRK,W,0.313,2,2,1,0.415,0.375,102,,
2019-20,Dennis Schroder,1/9/20,Home,HOU,W,0.636,0,0,,0.727,0.727,98,,
2019-20,Dennis Schroder,1/11/20,Home,LAL,L,0.333,2,2,1,0.409,0.367,126,,
2019-20,Dennis Schroder,1/13/20,Away,MIN,W,0.357,2,2,1,0.47,0.429,111,,
2019-20,Dennis Schroder,1/15/20,Home,TOR,L,0.588,0,0,,0.735,0.735,127,,
2019-20,Dennis Schroder,1/17/20,Home,MIA,L,0.375,3,3,1,0.52,0.469,123,,
2019-20,Dennis Schroder,1/18/20,Home,POR,W,0.455,3,4,0.75,0.588,0.545,116,,
2019-20,Dennis Schroder,1/20/20,Away,HOU,W,0.563,2,3,0.667,0.664,0.656,108,,
2019-20,Dennis Schroder,1/22/20,Away,ORL,W,0.722,2,3,0.667,0.802,0.806,122,,
2019-20,Dennis Schroder,1/24/20,Home,ATL,W,0.5,2,3,0.667,0.606,0.594,114,,
2019-20,Dennis Schroder,1/25/20,Away,MIN,W,0.421,6,6,1,0.601,0.526,108,,
2019-20,Dennis Schroder,1/27/20,Home,DAL,L,0.375,6,6,1,0.563,0.469,110,,
2019-20,Dennis Schroder,1/29/20,Away,SAC,W,0.615,5,5,1,0.789,0.731,106,,
2019-20,Dennis Schroder,1/31/20,Away,PHO,W,0.421,5,5,1,0.566,0.5,112,,
2019-20,Dennis Schroder,2/5/20,Home,CLE,W,0.588,8,11,0.727,0.687,0.647,104,,
2019-20,Dennis Schroder,2/7/20,Home,DET,W,0.571,2,2,1,0.605,0.571,120,,
2019-20,Dennis Schroder,2/9/20,Home,BOS,L,0.381,3,3,1,0.493,0.452,118,,
2019-20,Dennis Schroder,2/11/20,Home,SAS,L,0.385,3,3,1,0.489,0.423,124,,
2019-20,Dennis Schroder,2/13/20,Away,NOP,W,0.438,7,7,1,0.577,0.469,117,,
2019-20,Dennis Schroder,2/21/20,Home,DEN,W,0.444,2,2,1,0.557,0.5,104,,
2019-20,Dennis Schroder,2/23/20,Home,SAS,W,0.364,4,4,1,0.509,0.409,108,,
2019-20,Dennis Schroder,2/25/20,Away,CHI,W,0.667,3,3,1,0.788,0.75,131,,
2019-20,Dennis Schroder,2/27/20,Home,SAC,W,0.333,4,4,1,0.472,0.375,117,,
2019-20,Dennis Schroder,2/28/20,Away,MIL,L,0.333,3,5,0.6,0.402,0.333,127,,
2019-20,Dennis Schroder,3/3/20,Home,LAC,L,0.474,5,7,0.714,0.543,0.5,121,,
2019-20,Dennis Schroder,3/4/20,Away,DET,W,0.5,7,7,1,0.673,0.571,121,,
2019-20,Dennis Schroder,3/6/20,Away,NYK,W,0.313,4,5,0.8,0.44,0.375,103,,
2019-20,Dennis Schroder,3/8/20,Away,BOS,W,0.476,4,7,0.571,0.561,0.548,106,,
2019-20,Dennis Schroder,8/1/20,Home,UTA,W,0.625,3,4,0.75,0.666,0.625,102,,
2019-20,Dennis Schroder,8/3/20,Home,DEN,L,,,,,,,,,
2019-20,Dennis Schroder,8/5/20,Away,LAL,W,,,,,,,,,
2019-20,Dennis Schroder,8/7/20,Away,MEM,L,,,,,,,,,
2019-20,Dennis Schroder,8/9/20,Home,WAS,W,,,,,,,,,
2019-20,Dennis Schroder,8/10/20,Away,PHO,L,,,,,,,,,
2019-20,Dennis Schroder,8/12/20,Home,MIA,W,,,,,,,,,
2019-20,Dennis Schroder,8/14/20,Away,LAC,L,0.5,2,2,1,0.66,0.625,99,,
2019-20,Dennis Schroder,8/18/20,Away,HOU,L,0.25,0,0,,0.25,0.25,129,,
2019-20,Dennis Schroder,8/20/20,Away,HOU,L,0.417,1,2,0.5,0.505,0.5,124,,
2019-20,Dennis Schroder,8/22/20,Home,HOU,W,0.435,7,9,0.778,0.538,0.478,96,,
2019-20,Dennis Schroder,8/24/20,Home,HOU,W,0.625,6,7,0.857,0.786,0.75,121,,
2019-20,Dennis Schroder,8/29/20,Away,HOU,L,0.462,4,5,0.8,0.625,0.577,108,,
2019-20,Dennis Schroder,8/31/20,Home,HOU,W,0.313,2,2,1,0.355,0.313,97,,
2019-20,Dennis Schroder,9/2/20,Away,HOU,L,0.294,0,0,,0.353,0.353,112,,
2018-19,Dennis Schroder,10/16/18,Away,GSW,L,0.368,5,6,0.833,0.485,0.421,100,,
2018-19,Dennis Schroder,10/19/18,Away,LAC,L,0.133,4,4,1,0.239,0.133,115,,
2018-19,Dennis Schroder,10/21/18,Home,SAC,L,0.313,2,2,1,0.415,0.375,124,,
2018-19,Dennis Schroder,10/25/18,Home,BOS,L,0.4,1,2,0.5,0.46,0.45,102,,
2018-19,Dennis Schroder,10/28/18,Home,PHO,W,0.4,4,6,0.667,0.475,0.4,111,,
2018-19,Dennis Schroder,10/30/18,Home,LAC,W,0.462,2,2,1,0.54,0.5,109,,
2018-19,Dennis Schroder,11/1/18,Away,CHO,W,0.467,5,8,0.625,0.567,0.533,110,,
2018-19,Dennis Schroder,11/2/18,Away,WAS,W,0.545,2,2,1,0.673,0.636,107,,
2018-19,Dennis Schroder,11/5/18,Home,NOP,W,0.563,3,3,1,0.635,0.594,113,,
2018-19,Dennis Schroder,11/7/18,Away,CLE,W,0.579,6,8,0.75,0.622,0.579,89,,
2018-19,Dennis Schroder,11/8/18,Home,HOU,W,0.5,2,2,1,0.543,0.5,93,,
2018-19,Dennis Schroder,11/10/18,Away,DAL,L,0.381,2,3,0.667,0.426,0.405,116,,
2018-19,Dennis Schroder,11/12/18,Home,PHO,W,0.316,6,6,1,0.462,0.368,100,,
2018-19,Dennis Schroder,11/14/18,Home,NYK,W,0.5,2,2,1,0.689,0.65,102,,
2018-19,Dennis Schroder,11/17/18,Away,PHO,W,0.4,2,2,1,0.472,0.433,96,,
2018-19,Dennis Schroder,11/19/18,Away,SAC,L,0.176,0,0,,0.176,0.176,108,,
2018-19,Dennis Schroder,11/21/18,Away,GSW,W,0.632,3,3,1,0.787,0.763,96,,
2018-19,Dennis Schroder,11/23/18,Home,CHO,W,0.474,1,1,1,0.592,0.579,107,,
2018-19,Dennis Schroder,11/24/18,Home,DEN,L,0.357,6,6,1,0.541,0.429,110,,
2018-19,Dennis Schroder,11/28/18,Home,CLE,W,0.222,2,2,1,0.304,0.222,89,,
2018-19,Dennis Schroder,11/30/18,Home,ATL,W,0.533,0,0,,0.6,0.6,105,,
2018-19,Dennis Schroder,12/3/18,Away,DET,W,0.462,0,0,,0.462,0.462,77,,
2018-19,Dennis Schroder,12/5/18,Away,BRK,W,0.417,0,0,,0.5,0.5,118,,
2018-19,Dennis Schroder,12/7/18,Away,CHI,L,0.5,4,4,1,0.603,0.536,112,,
2018-19,Dennis Schroder,12/10/18,Home,UTA,W,0.529,4,4,1,0.613,0.559,106,,
2018-19,Dennis Schroder,12/12/18,Away,NOP,L,0.5,2,2,1,0.636,0.611,117,,
2018-19,Dennis Schroder,12/14/18,Away,DEN,L,0.231,4,7,0.571,0.342,0.269,123,,
2018-19,Dennis Schroder,12/15/18,Home,LAC,W,0.286,0,0,,0.286,0.286,105,,
2018-19,Dennis Schroder,12/17/18,Home,CHI,W,0.6,5,5,1,0.738,0.65,105,,
2018-19,Dennis Schroder,12/19/18,Away,SAC,W,,,,,,,,,
2018-19,Dennis Schroder,12/22/18,Away,UTA,W,0.417,0,0,,0.458,0.458,108,,
2018-19,Dennis Schroder,12/23/18,Home,MIN,L,0.333,1,2,0.5,0.388,0.375,115,,
2018-19,Dennis Schroder,12/25/18,Away,HOU,L,0.455,0,0,,0.455,0.455,113,,
2018-19,Dennis Schroder,12/28/18,Away,PHO,W,0.444,2,2,1,0.53,0.5,101,,
2018-19,Dennis Schroder,12/30/18,Away,DAL,L,0.421,1,2,0.5,0.478,0.474,105,,
2018-19,Dennis Schroder,12/31/18,Home,DAL,W,0.214,0,1,0,0.208,0.214,100,,
2018-19,Dennis Schroder,1/2/19,Away,LAL,W,0.308,1,4,0.25,0.339,0.346,95,,
2018-19,Dennis Schroder,1/4/19,Away,POR,W,0.286,2,2,1,0.336,0.286,111,,
2018-19,Dennis Schroder,1/6/19,Home,WAS,L,0.3,2,2,1,0.414,0.35,124,,
2018-19,Dennis Schroder,1/8/19,Home,MIN,L,0.375,2,2,1,0.507,0.438,126,,
2018-19,Dennis Schroder,1/10/19,Away,SAS,L,0.357,2,2,1,0.47,0.429,132,,
2018-19,Dennis Schroder,1/12/19,Home,SAS,W,0.471,3,4,0.75,0.506,0.471,101,,
2018-19,Dennis Schroder,1/15/19,Away,ATL,L,0.4,6,6,1,0.595,0.5,139,,
2018-19,Dennis Schroder,1/17/19,Home,LAL,L,0.429,2,2,1,0.571,0.5,127,,
2018-19,Dennis Schroder,1/19/19,Away,PHI,W,0.444,2,2,1,0.556,0.528,119,,
2018-19,Dennis Schroder,1/21/19,Away,NYK,W,0.417,3,3,1,0.638,0.583,106,,
2018-19,Dennis Schroder,1/22/19,Home,POR,W,0.385,2,4,0.5,0.44,0.423,122,,
2018-19,Dennis Schroder,1/24/19,Home,NOP,W,0.5,0,0,,0.625,0.625,110,,
2018-19,Dennis Schroder,1/27/19,Home,MIL,W,0.364,4,5,0.8,0.53,0.455,114,,
2018-19,Dennis Schroder,1/29/19,Away,ORL,W,0.727,3,4,0.75,0.823,0.818,121,,
2018-19,Dennis Schroder,2/1/19,Away,MIA,W,0.846,2,2,1,1.009,1,109,,
2018-19,Dennis Schroder,2/3/19,Away,BOS,L,0.385,4,4,1,0.542,0.462,124,,
2018-19,Dennis Schroder,2/5/19,Home,ORL,W,0.6,0,1,0,0.648,0.667,109,,
2018-19,Dennis Schroder,2/7/19,Home,MEM,W,0.375,1,3,0.333,0.462,0.469,101,,
2018-19,Dennis Schroder,2/9/19,Away,HOU,W,0.462,4,5,0.8,0.559,0.5,116,,
2018-19,Dennis Schroder,2/11/19,Home,POR,W,,,,,,,,,
2018-19,Dennis Schroder,2/14/19,Away,NOP,L,,,,,,,,,
2018-19,Dennis Schroder,2/22/19,Home,UTA,W,0.188,2,2,1,0.267,0.219,123,,
2018-19,Dennis Schroder,2/23/19,Home,SAC,L,0.417,3,4,0.75,0.509,0.458,109,,
2018-19,Dennis Schroder,2/26/19,Away,DEN,L,0.294,0,0,,0.324,0.324,117,,
2018-19,Dennis Schroder,2/28/19,Home,PHI,L,0.267,4,5,0.8,0.407,0.333,109,,
2018-19,Dennis Schroder,3/2/19,Away,SAS,L,0.4,5,8,0.625,0.486,0.433,117,,
2018-19,Dennis Schroder,3/3/19,Home,MEM,W,0.273,4,4,1,0.358,0.295,91,,
2018-19,Dennis Schroder,3/5/19,Away,MIN,L,0.5,4,4,1,0.717,0.625,132,,
2018-19,Dennis Schroder,3/7/19,Away,POR,W,0.438,0,0,,0.438,0.438,111,,
2018-19,Dennis Schroder,3/8/19,Away,LAC,L,0.25,3,4,0.75,0.345,0.3,117,,
2018-19,Dennis Schroder,3/11/19,Away,UTA,W,0.556,2,3,0.667,0.621,0.611,95,,
2018-19,Dennis Schroder,3/13/19,Home,BRK,W,0.3,0,0,,0.35,0.35,106,,
2018-19,Dennis Schroder,3/14/19,Away,IND,L,0.3,0,0,,0.35,0.35,112,,
2018-19,Dennis Schroder,3/16/19,Home,GSW,L,0.429,0,0,,0.536,0.536,117,,
2018-19,Dennis Schroder,3/18/19,Home,MIA,L,0.438,4,6,0.667,0.536,0.5,120,,
2018-19,Dennis Schroder,3/20/19,Home,TOR,L,0.313,1,2,0.5,0.355,0.344,112,,
2018-19,Dennis Schroder,3/22/19,Away,TOR,W,0.625,2,2,1,0.77,0.75,116,,
2018-19,Dennis Schroder,3/25/19,Away,MEM,L,0.643,5,6,0.833,0.751,0.714,126,,
2018-19,Dennis Schroder,3/27/19,Home,IND,W,0,3,4,0.75,0.171,0,105,,
2018-19,Dennis Schroder,3/29/19,Home,DEN,L,0.444,0,0,,0.5,0.5,130,,
2018-19,Dennis Schroder,3/31/19,Home,DAL,L,0.273,1,2,0.5,0.337,0.318,113,,
2018-19,Dennis Schroder,4/2/19,Home,LAL,W,0.417,4,4,1,0.545,0.458,105,,
2018-19,Dennis Schroder,4/5/19,Home,DET,W,0.429,1,1,1,0.485,0.464,110,,
2018-19,Dennis Schroder,4/7/19,Away,MIN,W,0.533,4,4,1,0.626,0.567,126,,
2018-19,Dennis Schroder,4/9/19,Home,HOU,W,0.375,2,2,1,0.563,0.5,121,,
2018-19,Dennis Schroder,4/10/19,Away,MIL,W,0.476,4,4,1,0.703,0.667,102,,
2018-19,Dennis Schroder,4/14/19,Away,POR,L,0.294,1,2,0.5,0.308,0.294,110,,
2018-19,Dennis Schroder,4/16/19,Away,POR,L,0.4,3,4,0.75,0.518,0.4,120,,
2018-19,Dennis Schroder,4/19/19,Home,POR,W,0.455,5,6,0.833,0.623,0.545,107,,
2018-19,Dennis Schroder,4/21/19,Home,POR,L,0.5,3,4,0.75,0.618,0.583,111,,
2018-19,Dennis Schroder,4/23/19,Away,POR,L,0.7,1,2,0.5,0.781,0.8,125,,
2019-20,Donovan Mitchell,10/23/19,Home,OKC,W,0.636,3,4,0.75,0.673,0.659,96,,
2019-20,Donovan Mitchell,10/25/19,Away,LAL,L,0.467,10,10,1,0.619,0.467,92,,
2019-20,Donovan Mitchell,10/26/19,Home,SAC,W,0.667,0,0,,0.833,0.833,84,,
2019-20,Donovan Mitchell,10/28/19,Away,PHO,W,0.375,4,8,0.5,0.454,0.438,94,,
2019-20,Donovan Mitchell,10/30/19,Home,LAC,W,0.588,4,4,1,0.64,0.588,99,,
2019-20,Donovan Mitchell,11/1/19,Away,SAC,L,0.474,5,6,0.833,0.555,0.5,106,,
2019-20,Donovan Mitchell,11/3/19,Away,LAC,L,0.524,10,14,0.714,0.663,0.619,109,,
2019-20,Donovan Mitchell,11/6/19,Home,PHI,W,0.435,3,6,0.5,0.468,0.457,111,,
2019-20,Donovan Mitchell,11/8/19,Home,MIL,W,0.364,1,1,1,0.423,0.409,100,,
2019-20,Donovan Mitchell,11/11/19,Away,GSW,W,0.412,4,4,1,0.613,0.559,108,,
2019-20,Donovan Mitchell,11/12/19,Home,BRK,W,0.5,4,4,1,0.54,0.5,113,,
2019-20,Donovan Mitchell,11/15/19,Away,MEM,L,0.429,10,10,1,0.571,0.452,99,,
2019-20,Donovan Mitchell,11/18/19,Home,MIN,L,0.217,5,7,0.714,0.326,0.261,107,,
2019-20,Donovan Mitchell,11/20/19,Away,MIN,W,0.375,3,3,1,0.513,0.479,104,,
2019-20,Donovan Mitchell,11/22/19,Home,GSW,W,0.5,3,4,0.75,0.582,0.563,113,,
2019-20,Donovan Mitchell,11/23/19,Home,NOP,W,0.462,7,7,1,0.636,0.577,115,,
2019-20,Donovan Mitchell,11/25/19,Away,MIL,L,0.412,3,3,1,0.546,0.5,122,,
2019-20,Donovan Mitchell,11/27/19,Away,IND,L,0.435,4,4,1,0.525,0.478,124,,
2019-20,Donovan Mitchell,11/29/19,Away,MEM,W,0.318,3,4,0.75,0.421,0.386,95,,
2019-20,Donovan Mitchell,12/1/19,Away,TOR,L,0.375,2,3,0.667,0.462,0.438,127,,
2019-20,Donovan Mitchell,12/2/19,Away,PHI,L,0.316,5,6,0.833,0.416,0.342,97,,
2019-20,Donovan Mitchell,12/4/19,Home,LAL,L,0.458,4,5,0.8,0.553,0.521,126,,
2019-20,Donovan Mitchell,12/7/19,Home,MEM,W,0.529,2,2,1,0.615,0.588,117,,
2019-20,Donovan Mitchell,12/9/19,Home,OKC,L,0.4,5,5,1,0.478,0.42,107,,
2019-20,Donovan Mitchell,12/11/19,Away,MIN,W,0.65,2,2,1,0.718,0.7,125,,
2019-20,Donovan Mitchell,12/13/19,Home,GSW,W,0.526,5,7,0.714,0.634,0.605,110,,
2019-20,Donovan Mitchell,12/17/19,Home,ORL,W,0.565,2,2,1,0.628,0.609,107,,
2019-20,Donovan Mitchell,12/19/19,Away,ATL,W,0.545,5,5,1,0.62,0.568,104,,
2019-20,Donovan Mitchell,12/21/19,Away,CHO,W,0.368,5,5,1,0.472,0.395,113,,
2019-20,Donovan Mitchell,12/23/19,Away,MIA,L,0.278,2,4,0.5,0.329,0.306,109,,
2019-20,Donovan Mitchell,12/26/19,Home,POR,W,0.632,8,11,0.727,0.734,0.711,125,,
2019-20,Donovan Mitchell,12/28/19,Away,LAC,W,0.565,0,0,,0.652,0.652,110,,
2019-20,Donovan Mitchell,12/30/19,Home,DET,W,0.467,8,8,1,0.621,0.5,89,,
2019-20,Donovan Mitchell,1/2/20,Away,CHI,W,0.429,3,3,1,0.555,0.5,113,,
2019-20,Donovan Mitchell,1/4/20,Away,ORL,W,0.667,0,1,0,0.746,0.762,108,,
2019-20,Donovan Mitchell,1/6/20,Away,NOP,W,0.389,3,3,1,0.492,0.444,127,,
2019-20,Donovan Mitchell,1/8/20,Home,NYK,W,0.545,2,2,1,0.673,0.636,114,,
2019-20,Donovan Mitchell,1/10/20,Home,CHO,W,0.222,0,0,,0.222,0.222,97,,
2019-20,Donovan Mitchell,1/12/20,Away,WAS,W,,,,,,,,,
2019-20,Donovan Mitchell,1/14/20,Away,BRK,W,0.421,6,6,1,0.578,0.5,116,,
2019-20,Donovan Mitchell,1/16/20,Away,NOP,L,0.471,7,7,1,0.62,0.574,126,,
