Season,Team,Date,Home/Away,Opp,W/L,FG%,FT,FTA,FT%,DRtg,FTr,TS%,eFG%,FT/FGA
2019-20,DEN,1/15/20,Home,CHO,W,0.481,15,25,0.6,92,0.316,0.556,0.538,0.19
2019-20,MIL,1/16/20,Home,BOS,W,0.494,26,37,0.703,118.1,0.425,0.62,0.586,0.299
2019-20,DEN,1/16/20,Away,GSW,W,0.47,23,26,0.885,115.6,0.26,0.601,0.555,0.23
2019-20,IND,1/17/20,Home,MIN,W,0.561,16,20,0.8,114.3,0.244,0.639,0.61,0.195
2019-20,LAL,1/18/20,Away,HOU,W,0.484,23,32,0.719,106.5,0.344,0.579,0.543,0.247
2019-20,MIL,1/18/20,Away,BRK,W,0.506,10,16,0.625,88.8,0.18,0.609,0.601,0.112
2019-20,IND,1/19/20,Away,DEN,W,0.5,16,19,0.842,112.5,0.221,0.609,0.576,0.186
2019-20,DEN,1/19/20,Home,IND,L,0.466,22,32,0.688,121,0.364,0.524,0.483,0.25
2019-20,LAL,1/20/20,Away,BOS,L,0.438,22,29,0.759,137.6,0.326,0.526,0.478,0.247
2019-20,IND,1/20/20,Away,UTA,L,0.419,3,7,0.429,120,0.075,0.458,0.457,0.032
2019-20,MIL,1/20/20,Home,CHI,W,0.584,10,23,0.435,92,0.299,0.637,0.656,0.13
2019-20,DEN,1/20/20,Away,MIN,W,0.478,10,12,0.833,107.3,0.133,0.562,0.539,0.111
2019-20,LAL,1/22/20,Away,NYK,W,0.439,19,28,0.679,99.3,0.341,0.53,0.494,0.232
2019-20,IND,1/22/20,Away,PHO,W,0.536,13,20,0.65,90.1,0.238,0.603,0.589,0.155
2019-20,DEN,1/22/20,Away,HOU,L,0.457,11,15,0.733,123.7,0.163,0.532,0.511,0.12
2019-20,LAL,1/23/20,Away,BRK,W,0.5,15,20,0.75,108.4,0.213,0.623,0.601,0.16
2019-20,IND,1/24/20,Away,GSW,W,0.575,12,13,0.923,118.2,0.149,0.696,0.672,0.138
2019-20,MIL,1/24/20,Away,CHO,W,0.506,18,24,0.75,102.8,0.276,0.595,0.563,0.207
2019-20,DEN,1/24/20,Away,NOP,W,0.377,20,20,1,109.6,0.189,0.492,0.439,0.189
2019-20,LAL,1/25/20,Away,PHI,L,0.461,15,23,0.652,109.4,0.303,0.528,0.5,0.197
2019-20,IND,1/26/20,Away,POR,L,0.516,20,21,0.952,138.7,0.226,0.631,0.586,0.215
2019-20,DEN,1/26/20,Home,HOU,W,0.473,18,20,0.9,110.8,0.215,0.575,0.532,0.194
