Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
José Abreu,33,39,MLB-AL,Chicago,60,262,240,43,76,15,0,19,60,18,1,59,3,0,1,10,0,0,0.317,0.37,0.617,0.987
Ronald Acuna Jr.,22,40,MLB-NL,Atlanta,46,202,160,46,40,11,0,14,29,38,2,60,4,0,0,3,8,1,0.25,0.406,0.581,0.987
Willy Adames,24,40,MLB-AL,Tampa Bay,54,205,185,29,48,15,1,8,23,20,0,74,0,0,0,4,2,1,0.259,0.332,0.48100000000000004,0.813
Austin Adams,29,39,MLB-NL,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Matt Adams,31,68,MLB-NL,Atlanta,16,51,49,4,9,2,0,2,9,2,0,18,0,0,0,3,0,0,0.184,0.21600000000000003,0.34700000000000003,0.563
Jo Adell,21,39,MLB-AL,Los Angeles,38,132,124,9,20,4,0,3,7,7,0,55,1,0,0,3,0,1,0.161,0.212,0.266,0.478
Ehire Adrianza,30,39,MLB-AL,Minnesota,44,101,89,10,17,7,0,0,3,11,0,23,1,0,0,3,1,0,0.191,0.287,0.27,0.557
Jesus Aguilar,30,39,MLB-NL,Miami,51,216,188,31,52,10,0,8,34,23,0,40,1,0,4,5,0,1,0.27699999999999997,0.35200000000000004,0.457,0.809
Nick Ahmed,30,39,MLB-NL,Arizona,57,217,199,29,53,10,1,5,29,18,0,46,0,0,0,3,4,0,0.266,0.327,0.402,0.7290000000000001
Shogo Akiyama,32,39,MLB-NL,Cincinnati,54,183,155,16,38,6,1,0,9,25,0,34,2,0,0,1,7,2,0.245,0.35700000000000004,0.297,0.654
Hanser Alberto,27,39,MLB-AL,Baltimore,54,231,219,35,62,15,0,3,22,5,0,30,3,2,2,6,3,0,0.28300000000000003,0.306,0.39299999999999996,0.698
Ozzie Albies,23,39,MLB-NL,Atlanta,29,124,118,21,32,5,0,6,19,5,0,30,1,0,0,0,3,0,0.271,0.306,0.466,0.773
Sergio Alcantara,23,39,MLB-AL,Detroit,10,23,21,2,3,0,1,1,1,2,0,4,0,0,0,0,0,0,0.14300000000000002,0.217,0.381,0.598
Jorge Alfaro,27,40,MLB-NL,Miami,31,100,93,12,21,2,0,3,16,4,1,36,3,0,0,2,2,0,0.226,0.28,0.344,0.624
Anthony Alford,25,61,"MLB-NL,MLB-AL","Pittsburgh,Toronto",18,29,28,5,6,0,1,2,7,1,0,8,0,0,0,0,3,0,0.214,0.24100000000000002,0.5,0.741
Austin Allen,26,75,MLB-AL,Oakland,14,32,31,1,6,1,0,1,3,1,0,14,0,0,0,0,0,0,0.19399999999999998,0.21899999999999997,0.32299999999999995,0.541
Greg Allen,27,64,"MLB-AL,MLB-NL","Cleveland,San Diego",16,32,26,4,4,1,0,1,4,3,0,10,2,0,1,0,2,0,0.154,0.281,0.308,0.589
Abraham Almonte,31,51,MLB-NL,San Diego,7,13,11,0,1,0,0,0,0,2,0,4,0,0,0,0,1,1,0.091,0.231,0.091,0.322
Albert Almora,26,67,MLB-NL,Chicago,28,34,30,4,5,1,0,0,1,3,0,9,1,0,0,0,0,0,0.16699999999999998,0.265,0.2,0.465
Pete Alonso,25,39,MLB-NL,New York,57,239,208,31,48,6,0,16,35,24,4,61,6,0,1,4,1,0,0.231,0.326,0.49,0.8170000000000001
Jose Altuve,30,39,MLB-AL,Houston,48,210,192,32,42,9,0,5,18,17,0,39,1,0,0,5,2,3,0.21899999999999997,0.28600000000000003,0.344,0.629
Eddy Alvarez,30,60,MLB-NL,Miami,12,41,37,6,7,1,0,0,2,3,0,16,1,0,0,0,2,0,0.18899999999999997,0.268,0.21600000000000003,0.485
Yordan Álvarez,23,82,MLB-AL,Houston,2,9,8,2,2,0,0,1,4,0,0,1,1,0,0,1,0,0,0.25,0.33299999999999996,0.625,0.958
Brian Anderson,27,39,MLB-NL,Miami,59,229,200,27,51,7,1,11,38,22,1,66,6,0,1,2,0,0,0.255,0.345,0.465,0.81
Tim Anderson,27,39,MLB-AL,Chicago,49,221,208,45,67,11,1,10,21,10,0,50,2,0,1,4,5,1,0.322,0.35700000000000004,0.529,0.8859999999999999
Elvis Andrus,31,54,MLB-AL,Texas,29,111,103,11,20,5,0,3,7,8,0,15,0,0,0,5,3,1,0.19399999999999998,0.252,0.33,0.5820000000000001
Miguel Andujar,25,53,MLB-AL,New York,21,65,62,5,15,2,1,1,5,3,0,9,0,0,0,1,0,0,0.242,0.27699999999999997,0.355,0.632
Sherten Apostel,21,42,MLB-AL,Texas,7,21,20,1,2,1,0,0,0,1,0,9,0,0,0,0,0,0,0.1,0.14300000000000002,0.15,0.293
Aristides Aquino,26,39,MLB-NL,Cincinnati,23,56,47,7,8,1,0,2,8,6,0,18,3,0,0,1,1,0,0.17,0.304,0.319,0.623
Jonathan Arauz,21,39,MLB-AL,Boston,25,80,72,8,18,2,0,1,9,8,0,21,0,0,0,0,0,0,0.25,0.325,0.319,0.644
Orlando Arcia,25,39,MLB-NL,Milwaukee,59,189,173,22,45,10,1,5,20,14,0,32,1,0,1,10,2,0,0.26,0.317,0.41600000000000004,0.7340000000000001
