Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Nolan Arenado,29,47,MLB-NL,Colorado,48,201,182,23,46,9,0,8,26,15,3,20,0,0,4,7,0,0,0.253,0.303,0.434,0.738
Randy Arozarena,25,39,MLB-AL,Tampa Bay,23,76,64,15,18,2,0,7,11,6,0,22,5,0,1,2,4,0,0.281,0.382,0.6409999999999999,1.022
Luis Arraez,23,39,MLB-AL,Minnesota,32,121,112,16,36,9,0,0,13,8,0,11,0,0,1,2,0,0,0.321,0.364,0.402,0.765
Christian Arroyo,25,40,MLB-AL,"Boston,Cleveland",15,54,50,7,12,1,0,3,8,4,0,11,0,0,0,2,0,0,0.24,0.29600000000000004,0.44,0.736
Willians Astudillo,28,49,MLB-AL,Minnesota,8,16,16,4,4,1,0,1,3,0,0,2,0,0,0,0,0,0,0.25,0.25,0.5,0.75
Alex Avila,33,39,MLB-AL,Minnesota,23,62,49,6,9,2,0,1,2,11,0,22,2,0,0,2,0,0,0.184,0.355,0.28600000000000003,0.6409999999999999
Harrison Bader,26,39,MLB-NL,St. Louis,50,125,106,21,24,7,2,4,11,13,0,40,5,0,1,2,3,1,0.226,0.336,0.44299999999999995,0.779
Javier Baez,27,39,MLB-NL,Chicago,59,235,222,27,45,9,1,8,24,7,0,75,4,0,2,8,3,0,0.203,0.23800000000000002,0.36,0.599
Austin Barnes,30,39,MLB-NL,Los Angeles,29,104,86,14,21,3,0,1,9,13,0,24,2,2,1,0,3,0,0.244,0.353,0.314,0.667
Tucker Barnhart,29,39,MLB-NL,Cincinnati,38,110,98,10,20,3,0,5,13,12,0,28,0,0,0,2,0,0,0.204,0.29100000000000004,0.38799999999999996,0.679
Franklin Barreto,24,60,MLB-AL,"Los Angeles,Oakland",21,28,27,5,2,0,0,0,2,0,0,15,1,0,0,0,1,0,0.07400000000000001,0.107,0.07400000000000001,0.18100000000000002
Joey Bart,23,39,MLB-NL,San Francisco,33,111,103,15,24,5,2,0,7,3,0,41,5,0,0,1,0,0,0.233,0.28800000000000003,0.32,0.609
Luis Alexander Basabe,23,44,MLB-NL,San Francisco,9,18,14,5,2,0,0,0,1,4,0,5,0,0,0,0,2,0,0.14300000000000002,0.33299999999999996,0.14300000000000002,0.47600000000000003
Matt Beaty,27,60,MLB-NL,Los Angeles,21,54,50,8,11,1,0,2,5,2,0,14,2,0,0,3,0,0,0.22,0.278,0.36,0.638
Josh Bell,27,39,MLB-NL,Pittsburgh,57,223,195,22,44,3,0,8,22,22,4,59,2,0,4,3,0,0,0.226,0.305,0.364,0.669
Cody Bellinger,24,40,MLB-NL,Los Angeles,56,243,213,33,51,10,0,12,30,30,2,42,0,0,0,4,6,0,0.239,0.33299999999999996,0.455,0.789
Brandon Belt,32,39,MLB-NL,San Francisco,51,179,149,25,46,13,1,9,30,30,1,36,0,0,0,5,0,0,0.309,0.425,0.591,1.015
Anthony Bemboom,30,39,MLB-AL,Los Angeles,21,60,48,9,10,1,0,3,5,7,0,13,2,2,1,0,0,1,0.20800000000000002,0.32799999999999996,0.41700000000000004,0.7440000000000001
Andrew Benintendi,25,86,MLB-AL,Boston,14,52,39,4,4,1,0,0,1,11,0,17,1,1,0,1,1,1,0.10300000000000001,0.314,0.128,0.442
Jon Berti,30,39,MLB-NL,Miami,39,149,120,21,31,5,0,2,14,23,0,37,3,2,1,1,9,2,0.258,0.38799999999999996,0.35,0.738
Mookie Betts,27,40,MLB-NL,Los Angeles,55,246,219,47,64,9,1,16,39,24,1,38,2,0,1,2,10,1,0.292,0.366,0.562,0.927
Bo Bichette,22,39,MLB-AL,Toronto,29,128,123,18,37,9,1,5,23,5,1,27,0,0,0,2,4,0,0.301,0.32799999999999996,0.512,0.84
Cavan Biggio,25,39,MLB-AL,Toronto,59,265,220,41,55,16,0,8,28,41,0,61,3,0,0,2,6,0,0.25,0.375,0.43200000000000005,0.807
Braden Bishop,26,39,MLB-AL,Seattle,12,34,30,2,5,2,0,0,4,2,0,10,1,1,0,0,1,0,0.16699999999999998,0.242,0.233,0.47600000000000003
Charlie Blackmon,33,39,MLB-NL,Colorado,59,247,221,31,67,12,1,6,42,19,4,44,2,0,5,4,2,1,0.303,0.35600000000000004,0.44799999999999995,0.804
Travis Blankenhorn,23,51,MLB-AL,Minnesota,1,4,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.33299999999999996,0.5,0.667,1.167
Xander Bogaerts,27,39,MLB-AL,Boston,56,225,203,36,61,8,0,11,28,21,2,41,0,0,1,3,8,0,0.3,0.364,0.502,0.867
Alec Bohm,23,39,MLB-NL,Philadelphia,44,180,160,24,54,11,0,4,23,16,0,36,2,0,2,4,1,1,0.33799999999999997,0.4,0.48100000000000004,0.8809999999999999
Emilio Bonifacio,35,99,MLB-NL,Washington,3,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Jorge Bonifacio,27,39,MLB-AL,Detroit,30,94,86,8,19,3,0,2,17,5,0,26,2,0,1,1,0,0,0.221,0.27699999999999997,0.326,0.602
David Bote,27,39,MLB-NL,Chicago,45,145,125,15,25,3,1,7,29,17,0,40,2,0,1,6,2,0,0.2,0.303,0.408,0.711
Jackie Bradley Jr.,30,39,MLB-AL,Boston,55,217,191,32,54,11,0,7,22,23,1,48,2,0,1,2,5,1,0.28300000000000003,0.364,0.45,0.8140000000000001
Michael Brantley,33,39,MLB-AL,Houston,46,187,170,24,51,15,0,5,22,17,0,28,0,0,0,3,2,0,0.3,0.364,0.47600000000000003,0.84
Rob Brantly,30,104,MLB-NL,San Francisco,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Braun,36,39,MLB-NL,Milwaukee,39,141,129,14,30,7,1,8,26,7,0,27,2,0,1,6,1,0,0.233,0.281,0.488,0.769
Alex Bregman,26,39,MLB-AL,Houston,42,180,153,19,37,12,1,6,22,24,1,26,2,0,1,2,0,0,0.242,0.35,0.451,0.8009999999999999
Jose Briceno,27,61,MLB-AL,Los Angeles,2,6,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0.33299999999999996,0.2,0.5329999999999999
Lewis Brinson,26,39,MLB-NL,Miami,46,112,106,14,24,6,0,3,12,6,0,30,0,0,0,2,4,0,0.226,0.268,0.368,0.636
Mike Brosseau,26,39,MLB-AL,Tampa Bay,36,98,86,12,26,5,1,5,12,8,0,31,3,0,1,1,2,0,0.302,0.37799999999999995,0.5579999999999999,0.9359999999999999
Seth Brown,27,52,MLB-AL,Oakland,7,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jay Bruce,33,39,MLB-NL,Philadelphia,32,103,96,11,19,4,2,6,14,7,1,24,0,0,0,1,0,0,0.198,0.252,0.469,0.721
Kris Bryant,28,39,MLB-NL,Chicago,34,147,131,20,27,5,1,4,11,12,0,40,4,0,0,1,0,0,0.20600000000000002,0.293,0.35100000000000003,0.644
Drew Butera,36,39,MLB-NL,Colorado,28,43,39,4,6,2,0,0,4,2,0,11,0,1,1,3,0,0,0.154,0.19,0.205,0.396
Byron Buxton,26,41,MLB-AL,Minnesota,39,135,130,19,33,3,0,13,27,2,0,36,1,0,2,2,2,1,0.254,0.267,0.5770000000000001,0.8440000000000001
Asdrubal Cabrera,34,43,MLB-NL,Washington,52,213,190,23,46,9,3,8,31,19,0,40,0,0,4,6,0,0,0.242,0.305,0.447,0.753
Miguel Cabrera,37,40,MLB-AL,Detroit,57,231,204,28,51,4,0,10,35,24,1,51,1,0,2,3,1,0,0.25,0.32899999999999996,0.41700000000000004,0.746
Lorenzo Cain,34,100,MLB-NL,Milwaukee,5,21,18,4,6,1,0,0,2,3,1,2,0,0,0,1,0,0,0.33299999999999996,0.429,0.389,0.8170000000000001
Kole Calhoun,32,39,MLB-NL,Arizona,54,228,190,35,43,9,0,16,40,28,0,50,6,0,4,6,1,1,0.226,0.33799999999999997,0.526,0.8640000000000001
Willie Calhoun,25,39,MLB-AL,Texas,29,108,100,3,19,2,1,1,13,5,0,17,1,0,2,1,0,0,0.19,0.231,0.26,0.491
Johan Camargo,26,61,MLB-NL,Atlanta,35,127,120,16,24,8,0,4,9,6,0,35,1,0,0,1,0,0,0.2,0.244,0.36700000000000005,0.611
Daz Cameron,23,39,MLB-AL,Detroit,17,59,57,4,11,2,1,0,3,2,0,19,0,0,0,1,1,0,0.193,0.22,0.263,0.483
Luis Campusano,21,62,MLB-NL,San Diego,1,4,3,2,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0.33299999999999996,0.5,1.3330000000000002,1.8330000000000002
Jeimer Candelario,26,42,MLB-AL,Detroit,52,206,185,30,55,11,3,7,29,20,0,49,1,0,0,3,1,1,0.297,0.369,0.503,0.872
Mark Canha,31,39,MLB-AL,Oakland,59,243,191,32,47,12,2,5,33,37,1,54,10,0,5,2,4,0,0.24600000000000002,0.387,0.408,0.795
Robinson Cano,37,39,MLB-NL,New York,49,182,171,23,54,9,0,10,30,9,1,24,1,0,1,7,0,0,0.316,0.35200000000000004,0.544,0.8959999999999999
Victor Caratini,26,39,MLB-NL,Chicago,44,132,116,10,28,7,0,1,16,12,1,31,4,0,0,4,0,1,0.24100000000000002,0.33299999999999996,0.32799999999999996,0.6609999999999999
Dylan Carlson,21,39,MLB-NL,St. Louis,35,119,110,11,22,7,1,3,16,8,0,35,0,0,1,3,1,1,0.2,0.252,0.364,0.616
Matt Carpenter,34,40,MLB-NL,St. Louis,50,169,140,22,26,6,0,4,24,23,1,48,6,0,0,1,0,0,0.18600000000000003,0.325,0.314,0.64
Curt Casali,31,39,MLB-NL,Cincinnati,31,93,76,10,17,3,0,6,8,14,0,29,3,0,0,2,1,0,0.22399999999999998,0.366,0.5,0.866
Nicholas Castellanos,28,39,MLB-NL,Cincinnati,60,242,218,37,49,11,2,14,34,19,1,69,4,0,1,5,0,2,0.225,0.298,0.486,0.784
Harold Castro,26,40,MLB-AL,Detroit,22,54,49,6,17,4,0,0,3,5,0,11,0,0,0,1,0,0,0.34700000000000003,0.40700000000000003,0.429,0.836
Jason Castro,33,39,"MLB-AL,MLB-NL","Los Angeles,San Diego",27,92,80,8,15,9,0,2,9,12,0,33,0,0,0,2,0,0,0.188,0.293,0.375,0.6679999999999999
Starlin Castro,30,84,MLB-NL,Washington,16,63,60,9,16,3,1,2,4,3,0,13,0,0,0,0,0,0,0.267,0.302,0.45,0.752
Willi Castro,23,40,MLB-AL,Detroit,36,140,129,21,45,4,2,6,24,7,0,38,1,1,2,0,0,1,0.349,0.381,0.55,0.932
Jake Cave,27,39,MLB-AL,Minnesota,42,123,113,17,25,3,2,4,15,5,0,44,5,0,0,0,0,2,0.221,0.285,0.389,0.674
Francisco Cervelli,34,75,MLB-NL,Miami,16,62,53,10,13,2,0,3,7,8,0,14,1,0,0,3,1,0,0.245,0.355,0.45299999999999996,0.8079999999999999
Yoenis Céspedes,34,96,MLB-NL,New York,8,34,31,3,5,1,0,2,4,2,0,15,1,0,0,1,0,0,0.161,0.235,0.387,0.622
Yu Chang,24,49,MLB-AL,Cleveland,10,13,11,1,2,0,0,0,1,2,0,4,0,0,0,2,0,0,0.182,0.308,0.182,0.49
Matt Chapman,27,60,MLB-AL,Oakland,37,152,142,22,33,9,2,10,25,8,0,54,1,0,1,2,0,0,0.23199999999999998,0.276,0.535,0.812
Michael Chavis,24,39,MLB-AL,Boston,42,158,146,16,31,5,2,5,19,8,0,50,2,0,2,6,3,0,0.212,0.259,0.377,0.636
Robinson Chirinos,36,39,"MLB-AL,MLB-NL","Texas,New York",26,82,74,4,12,3,0,1,7,6,0,21,1,0,1,5,0,0,0.162,0.23199999999999998,0.243,0.475
Jazz Chisholm,22,39,MLB-NL,Miami,21,62,56,8,9,1,1,2,6,5,0,19,1,0,0,0,2,2,0.161,0.242,0.321,0.563
Ji-Man Choi,29,54,MLB-AL,Tampa Bay,42,145,122,16,28,13,0,3,16,20,2,36,0,0,3,1,0,0,0.23,0.331,0.41,0.741
Shin-Soo Choo,37,39,MLB-AL,Texas,33,127,110,13,26,3,0,5,15,13,1,33,2,0,2,1,6,1,0.23600000000000002,0.32299999999999995,0.4,0.723
Zack Collins,25,78,MLB-AL,Chicago,9,18,16,1,1,1,0,0,0,2,0,5,0,0,0,0,0,0,0.063,0.16699999999999998,0.125,0.292
Christian Colon,31,85,MLB-NL,Cincinnati,11,24,23,3,3,1,0,0,2,1,0,3,0,0,0,1,1,0,0.13,0.16699999999999998,0.174,0.341
Michael Conforto,27,43,MLB-NL,New York,54,233,202,40,65,12,0,9,31,24,0,57,7,0,0,6,3,3,0.322,0.41200000000000003,0.515,0.927
William Contreras,22,101,MLB-NL,Atlanta,4,10,10,0,4,1,0,0,1,0,0,4,0,0,0,0,0,0,0.4,0.4,0.5,0.9
Willson Contreras,28,40,MLB-NL,Chicago,57,225,189,37,46,10,0,7,26,20,1,57,14,0,2,6,1,1,0.243,0.35600000000000004,0.40700000000000003,0.763
Garrett Cooper,29,40,MLB-NL,Miami,34,133,120,20,34,8,0,6,20,11,0,31,2,0,0,5,0,0,0.28300000000000003,0.353,0.5,0.853
Ryan Cordell,28,39,MLB-NL,New York,5,8,8,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0.125,0.125,0.125,0.25
Franchy Cordero,25,39,MLB-AL,Kansas City,16,42,38,7,8,3,0,2,7,4,0,4,0,0,0,1,1,0,0.21100000000000002,0.28600000000000003,0.447,0.733
Carlos Correa,25,39,MLB-AL,Houston,58,220,200,22,53,9,0,5,25,16,2,48,3,0,1,4,0,0,0.265,0.327,0.385,0.7120000000000001
Will Craig,25,69,MLB-NL,Pittsburgh,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Brandon Crawford,33,39,MLB-NL,San Francisco,54,193,172,26,44,12,0,8,28,15,2,47,4,0,2,3,1,2,0.256,0.326,0.465,0.792
J.P. Crawford,25,39,MLB-AL,Seattle,53,232,204,33,52,7,2,2,24,23,0,39,3,0,2,4,6,3,0.255,0.336,0.33799999999999997,0.674
C.J. Cron,30,87,MLB-AL,Detroit,13,52,42,9,8,3,0,4,8,9,0,16,1,0,0,2,0,0,0.19,0.34600000000000003,0.5479999999999999,0.894
Kevin Cron,27,74,MLB-NL,Arizona,8,20,17,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0.0,0.15,0.0,0.15
Jake Cronenworth,26,39,MLB-NL,San Diego,54,192,172,26,49,15,3,4,20,18,0,30,1,0,1,4,3,1,0.285,0.354,0.47700000000000004,0.831
Nelson Cruz,39,39,MLB-AL,Minnesota,53,214,185,33,56,6,0,16,33,25,5,58,4,0,0,8,0,0,0.303,0.397,0.595,0.992
Charlie Culberson,31,59,MLB-NL,Atlanta,9,7,7,2,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0.14300000000000002,0.14300000000000002,0.28600000000000003,0.429
Cheslor Cuthbert,27,102,MLB-AL,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Travis d'Arnaud,31,40,MLB-NL,Atlanta,44,184,165,19,53,8,0,9,34,16,0,50,2,0,1,8,1,0,0.321,0.386,0.5329999999999999,0.919
David Dahl,26,46,MLB-NL,Colorado,24,99,93,9,17,2,2,0,9,4,0,28,1,0,1,0,1,0,0.183,0.222,0.247,0.47
Bobby Dalbec,25,39,MLB-AL,Boston,23,92,80,13,21,3,0,8,16,10,0,39,2,0,0,0,0,0,0.263,0.359,0.6,0.9590000000000001
Matt Davidson,29,60,MLB-NL,Cincinnati,20,47,43,3,7,1,0,3,11,4,0,13,0,0,0,2,0,0,0.163,0.23399999999999999,0.395,0.629
Chris Davis,34,55,MLB-AL,Baltimore,16,55,52,3,6,3,0,0,1,3,0,17,0,0,0,0,0,0,0.115,0.16399999999999998,0.17300000000000001,0.337
J.D. Davis,27,39,MLB-NL,New York,56,229,190,26,47,9,0,6,19,31,1,56,7,0,1,8,0,0,0.247,0.371,0.389,0.7609999999999999
Jaylin Davis,25,100,MLB-NL,San Francisco,4,12,12,2,2,0,0,1,1,0,0,6,0,0,0,0,0,0,0.16699999999999998,0.16699999999999998,0.41700000000000004,0.583
Jonathan Davis,28,39,MLB-AL,Toronto,13,34,27,4,7,2,0,1,6,3,0,11,2,0,1,1,1,0,0.259,0.364,0.444,0.8079999999999999
Khris Davis,32,39,MLB-AL,Oakland,30,99,85,9,17,5,0,2,10,10,0,26,3,0,1,5,0,0,0.2,0.303,0.32899999999999996,0.632
Austin Dean,26,53,MLB-NL,St. Louis,3,7,4,1,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0.25,0.5710000000000001,0.5,1.071
Paul DeJong,26,39,MLB-NL,St. Louis,45,174,152,17,38,6,0,3,25,17,0,50,1,0,4,4,1,0,0.25,0.322,0.349,0.6709999999999999
Nicky Delmonico,27,95,MLB-AL,Chicago,6,22,20,0,3,0,0,0,3,2,0,2,0,0,0,2,0,0,0.15,0.22699999999999998,0.15,0.377
Travis Demeritte,25,49,MLB-AL,Detroit,18,33,29,5,5,1,0,0,4,3,0,14,1,0,0,0,0,0,0.172,0.273,0.207,0.48
Delino DeShields,27,39,MLB-AL,Cleveland,37,120,107,10,27,3,2,0,7,9,0,29,0,4,0,0,3,2,0.252,0.31,0.318,0.628
Rafael Devers,23,39,MLB-AL,Boston,57,248,232,32,61,16,1,11,43,13,0,67,3,0,0,8,0,0,0.263,0.31,0.483,0.7929999999999999
Aledmys Díaz,29,39,MLB-AL,Houston,17,59,58,8,14,5,0,3,6,1,0,12,0,0,0,1,0,0,0.24100000000000002,0.254,0.483,0.737
Elias Diaz,29,39,MLB-NL,Colorado,26,73,68,4,16,2,0,2,9,5,0,15,0,0,0,4,0,0,0.235,0.28800000000000003,0.353,0.6409999999999999
Isan Diaz,24,52,MLB-NL,Miami,7,22,22,3,4,0,0,0,1,0,0,7,0,0,0,0,0,0,0.182,0.182,0.182,0.364
Lewin Diaz,23,59,MLB-NL,Miami,14,41,39,2,6,2,0,0,3,2,0,12,0,0,0,2,0,0,0.154,0.195,0.205,0.4
Yandy Díaz,28,66,MLB-AL,Tampa Bay,34,138,114,16,35,3,0,2,11,23,1,17,1,0,0,6,0,0,0.307,0.428,0.386,0.8140000000000001
Alex Dickerson,30,39,MLB-NL,San Francisco,52,169,150,28,45,10,1,10,27,16,2,29,2,0,1,5,0,0,0.3,0.373,0.58,0.953
Corey Dickerson,31,39,MLB-NL,Miami,52,210,194,25,50,5,1,7,17,15,1,35,0,0,0,5,1,0,0.258,0.311,0.402,0.713
Derek Dietrich,30,39,MLB-AL,Texas,25,75,61,9,12,1,0,5,8,9,0,21,5,0,0,4,1,0,0.19699999999999998,0.34700000000000003,0.45899999999999996,0.8059999999999999
Wilmer Difo,28,62,MLB-NL,Washington,12,18,14,1,1,0,0,0,1,3,0,4,0,0,1,0,0,0,0.071,0.222,0.071,0.294
Brandon Dixon,28,39,MLB-AL,Detroit,5,14,13,0,1,1,0,0,2,1,0,4,0,0,0,1,0,0,0.077,0.14300000000000002,0.154,0.297
Josh Donaldson,34,41,MLB-AL,Minnesota,28,102,81,14,18,2,0,6,11,18,1,24,2,0,1,4,0,0,0.222,0.373,0.469,0.8420000000000001
Brian Dozier,33,83,MLB-NL,New York,7,16,15,1,2,0,0,0,0,1,0,5,0,0,0,1,0,0,0.133,0.188,0.133,0.321
Hunter Dozier,28,39,MLB-AL,Kansas City,44,186,158,29,36,4,2,6,12,27,0,48,1,0,0,3,4,0,0.228,0.344,0.392,0.736
Brandon Drury,27,72,MLB-AL,Toronto,21,49,46,3,7,1,0,0,1,2,0,9,0,0,1,0,0,0,0.152,0.184,0.174,0.358
Mauricio Dubon,25,39,MLB-NL,San Francisco,54,177,157,21,43,4,1,4,19,15,0,36,1,1,2,4,2,2,0.27399999999999997,0.337,0.389,0.726
Steven Duggar,26,39,MLB-NL,San Francisco,21,36,34,3,6,2,0,0,3,1,0,11,1,0,0,1,1,0,0.17600000000000002,0.222,0.235,0.45799999999999996
Adam Duvall,31,39,MLB-NL,Atlanta,57,209,190,34,45,8,0,16,33,15,0,54,3,0,1,2,0,0,0.237,0.301,0.532,0.833
Jarrod Dyson,35,42,"MLB-NL,MLB-AL","Pittsburgh,Chicago",32,66,61,9,11,0,0,0,5,4,0,11,0,1,0,0,6,0,0.18,0.231,0.18,0.41100000000000003
Adam Eaton,31,50,MLB-NL,Washington,41,176,159,22,36,11,1,4,17,12,1,32,1,4,0,4,3,0,0.226,0.285,0.384,0.669
Tommy Edman,25,39,MLB-NL,St. Louis,55,227,204,29,51,7,1,5,26,16,0,48,5,0,2,5,2,4,0.25,0.317,0.368,0.685
Edwin Encarnacion,37,39,MLB-AL,Chicago,44,181,159,19,25,5,0,10,19,16,0,54,4,0,1,3,0,0,0.157,0.25,0.377,0.627
Adam Engel,28,39,MLB-AL,Chicago,36,93,88,11,26,5,1,3,12,3,0,19,2,0,0,1,1,0,0.295,0.33299999999999996,0.47700000000000004,0.8109999999999999
Phil Ervin,27,40,"MLB-NL,MLB-AL","Cincinnati,Seattle",37,89,74,10,11,3,0,0,4,14,0,22,1,0,0,2,1,0,0.149,0.292,0.18899999999999997,0.48100000000000004
Eduardo Escobar,31,39,MLB-NL,Arizona,54,222,203,22,43,7,3,4,20,15,4,41,2,0,2,5,1,0,0.212,0.27,0.335,0.605
Santiago Espinal,25,48,MLB-AL,Toronto,26,66,60,10,16,4,0,0,6,4,0,16,0,1,1,1,1,0,0.267,0.308,0.33299999999999996,0.6409999999999999
Thairo Estrada,24,51,MLB-AL,New York,26,52,48,8,8,0,0,1,3,1,0,19,3,0,0,0,1,0,0.16699999999999998,0.231,0.22899999999999998,0.46
Phillip Evans,27,89,MLB-NL,Pittsburgh,11,45,39,6,14,2,0,1,9,5,0,7,1,0,0,1,0,1,0.359,0.444,0.48700000000000004,0.932
Kyle Farmer,29,39,MLB-NL,Cincinnati,32,70,64,4,17,3,0,0,4,5,0,13,1,0,0,0,1,0,0.266,0.32899999999999996,0.313,0.6409999999999999
Derek Fisher,26,51,MLB-AL,Toronto,16,39,31,5,7,2,1,1,7,7,0,11,0,0,1,0,0,1,0.226,0.359,0.452,0.8109999999999999
